"","num","fire","CFI1","Fire.type","ROS","SFC","SFC.CLS","SFC.LF","CFC","Fire.intensity","Date","MC.SA","MC.SA_season","MC.SA_dens","MC.SA_stand","FSG1","FSG2","FMC","SH","ws","FFMC","ISI","DMC","DC","BUI","FWI","ExpProject","MC.FFMC","Site","T","RH","Grass.Cure","Plot.Wd","isi.m","FT","CF"
"75",219,"DQ  HONDO EXP FIRE #B3 ASPEN ALTA",0,"S",2.5,0.51,NA,NA,0,306,1972-05-10,9.950797845,1,1,1,NA,NA,NA,NA,12.8,92.5,11.6,17,35,17,15,"Hondo (D1)",NA,NA,NA,NA,NA,33.33,9.21029176231822,"Decid",NA
"76",220,"ADK HEART LK EXP FIRE ASPEN-W.SPR",0,"S",3.7,0.59,NA,NA,0,708,1969-05-16,9.926706737,1,1,1,NA,NA,NA,NA,17,90.3,10.5,33,69,33,19,"Heart Lk (D1)",NA,NA,NA,NA,NA,33.33,11.418640679843,"Decid",NA
"77",221,"PNFI 602 EXP FIRE #1 ASPEN ONT",0,"S",1.6,NA,NA,NA,0,NA,1962-10-22,24.91816923,3,1,1,NA,NA,NA,NA,14,87.1,5.9,9,26,17,8,"PNFI (D1)",NA,6,NA,NA,NA,NA,1.87060335903596,"Decid",NA
"78",222,"PNFI 602 EXP FIRE #2 ASPEN ONT",0,"S",1.6,0.34,NA,NA,0,204,1963-05-26,9.126376045,1,1,1,NA,NA,NA,NA,14,91.8,11.4,33,117,39,0,"PNFI (D1)",NA,6,NA,NA,NA,NA,10.9525650174067,"Decid",NA
"79",223,"PNFI 602 EXP FIRE #3 ASPEN ONT",0,"S",1.1,NA,NA,NA,0,NA,1963-10-24,23.16540333,3,1,1,NA,NA,NA,NA,6,85.6,3.2,28,285,45,9,"PNFI (D1)",NA,6,NA,NA,NA,NA,1.41688098565843,"Decid",NA
"80",224,"PNFI 602 EXP FIRE #4 ASPEN ONT",0,"S",2.9,0.49,NA,NA,0,441,1965-05-21,12.44282298,1,1,1,NA,NA,NA,NA,17,89.2,9.3,13,58,16,12,"PNFI (D1)",NA,6,NA,NA,NA,NA,8.13088825594897,"Decid",NA
"81",225,"PNFI 602 EXP FIRE #5 ASPEN ONT",0,"S",1.6,NA,NA,NA,0,NA,1966-05-26,11.8001605,1,1,1,NA,NA,NA,NA,19,87,5.3,30,117,37,12,"PNFI (D1)",NA,6,NA,NA,NA,NA,9.79935303809232,"Decid",NA
"82",226,"PNFI 621 EXP FIRE #1 ASPEN ONT",0,"S",1,0.95,NA,NA,0,285,1972-05-24,7.493061114,1,1,1,NA,NA,NA,NA,6,93.9,12.1,42,101,42,23,"PNFI (D1)",NA,6,NA,NA,NA,NA,9.16305545116447,"Decid",NA
"83",227,"PNFI EXP FIRE #AY-1 YOUNG ASPEN O",0,"S",6.1,NA,NA,NA,0,NA,1976-08-04,13.48900777,2,1,1,NA,NA,NA,NA,19,89.9,11,26,276,42,22,"PNFI (D1)",NA,6,NA,NA,NA,NA,7.83348288437476,"Decid",NA
"84",228,"PNFI EXP FIRE #AY-2 YOUNG ASPEN O",0,"S",3,NA,NA,NA,0,NA,1977-05-19,8.078615388,1,1,1,NA,NA,NA,NA,10,91.7,9,58,107,57,22,"PNFI (D1)",NA,6,NA,NA,NA,NA,10.3400087412567,"Decid",NA
"85",229,"PNFI 621 EXP FIRE #1 OAK ONT",0,"S",1.7,0.23,NA,NA,0,138,1971-08-19,12.76500221,2,1,1,NA,NA,NA,NA,3,91,12,21,314,36,22,"PNFI (D1)",NA,6,NA,NA,NA,NA,3.84760545250237,"Decid",NA
"86",230,"PNFI 621 EXP FIRE #2 OAK ONT",0,"S",0.5,NA,NA,NA,0,NA,1972-05-26,7.30192222,1,1,1,NA,NA,NA,NA,9,93.9,11.2,47,107,47,23,"PNFI (D1)",NA,6,NA,NA,NA,NA,10.943295054112,"Decid",NA
"87",231,"PNFI EXP FIRE #1 MIXEDWOOD ONT",0,"S",1.5,NA,NA,NA,0,NA,1972-05-25,7.493061114,1,1,1,NA,NA,NA,NA,3,93.9,12.1,42,101,42,23,"PNFI (D1)",NA,6,NA,NA,NA,NA,7.87749285474893,"Decid",NA
"88",232,"GWATKIN LK WILDFIRE ASPEN ONT",0,"S",10.5,0.98,NA,NA,0,2940,1964-05-07,7.343741246,1,1,1,NA,NA,NA,NA,22,93.4,21.5,54,102,54,39,"PNFI (D1)",NA,6,NA,NA,NA,NA,20.947615455249,"Decid",NA
"89",122,"PNFI #1 13 yr ONT",0,"S",7.6,1.6,NA,NA,0,NA,1977-05-19,7.47659640973723,1,2,4,NA,NA,NA,NA,19,91.7,14.2,57,107,57,NA,"PNFI (JP)",NA,NA,NA,NA,NA,NA,17.6815428198961,"Con",NA
